id,name,form,commonDose,usage,indications,contraindications,interactions,sideEffects,pregnancy,formula,maxDose,frequency,source,maxDaily,category,dividedDose
paracetamol,پاراستامول (استامینوفن),قرص 500mg,500–1000mg هر 4–6 ساعت,خوراکی، بعد غذا یا با معده خالی,تب، دردهای خفیف تا متوسط,حساسیت به دارو,الکل، وارفارین,حالت تهوع، بثورات پوستی,قابل مصرف در بارداری و شیردهی با احتیاط,10-15 mg/kg/dose,1000 mg,هر 4-6 ساعت,WHO Guidelines 2023,4000 mg,مسکن و تب کاهنده,هر 4-6 ساعت یک بار
ibuprofen,ایبوپروفن,قرص 400mg,400mg هر 6–8 ساعت,خوراکی، همراه غذا,درد، تب، التهاب مفاصل,زخم معده، نارسایی کلیوی,آسپرین، وارفارین,سوزش معده، تهوع,فقط با تجویز در بارداری مصرف شود,5-10 mg/kg/dose,400 mg,هر 6-8 ساعت,AAP 2022,1200 mg,مسکن و ضدالتهاب,هر 6-8 ساعت یک بار
diphenhydramine,دیفن‌هیدرامین,شربت، قرص,25–50mg هر 6–8 ساعت,خوراکی، قبل از خواب ترجیحاً,آلرژی، خارش، بی‌خوابی,گلوکوم، بزرگی پروستات,الکل، داروهای خواب‌آور,خواب‌آلودگی، خشکی دهان,خیر,1-2 mg/kg/dose,50 mg,هر 6-8 ساعت,Lexicomp 2023,150 mg,آنتی هیستامین,هر 6-8 ساعت یک بار
famotidine,فاموتیدین,قرص 20mg,20mg دو بار در روز,خوراکی، قبل غذا,رفلاکس معده، سوزش سر دل,حساسیت به دارو,کتوکونازول، آتازاناویر,سردرد، یبوست,بله,0.2-0.4 mg/kg/day,40 mg,هر 12 ساعت,UpToDate 2023,80 mg,داروی معده,هر 12 ساعت یک بار (2 بار در روز)
pseudoephedrine,کلداکس (سودوافدرین),کپسول,1 کپسول هر 6–8 ساعت,خوراکی، با آب کافی,سرماخوردگی، احتقان بینی,فشار خون بالا، دیابت,مهارکننده MAO,خشکی دهان، گیجی,خیر,1-2 mg/kg/day,60 mg,هر 6-8 ساعت,Sanford Guide 2023,180 mg,دکونژستانت,هر 6-8 ساعت یک بار
zinc,زینک پلاس,قرص,1 قرص در روز,خوراکی، بعد از غذا,تقویت سیستم ایمنی، ریزش مو,حساسیت به زینک,آنتی‌بیوتیک‌ها,معده‌درد، تهوع,بله,1-2 mg/kg/day,40 mg,روزانه,NIH Guidelines 2023,40 mg,مکمل,یک بار در روز
vitamin_c,ویتامین C جوشان,قرص جوشان 500mg,1 قرص در روز,در یک لیوان آب حل شود,تقویت سیستم ایمنی، پیشگیری از سرماخوردگی,سنگ کلیه اگزالاتی,آسپرین، شیمی‌درمانی,اسهال، تهوع,بله,10-20 mg/kg/day,1000 mg,روزانه,NIH Guidelines 2023,1000 mg,مکمل,یک بار در روز
vitamin_d,ویتامین D3,قرص 1000 واحد,1 قرص در روز,خوراکی، بعد غذا,کمبود ویتامین D، تقویت استخوان,هایپرکلسمی,دیگوکسین,یبوست، تهوع,بله,400-800 IU/day,4000 IU,روزانه,Endocrine Society 2023,4000 IU,مکمل,یک بار در روز
bisacodyl,بیزاکودیل,قرص، شیاف,5–10mg روزانه,خوراکی یا رکتال,یبوست موقت,انسداد روده، آپاندیسیت,دیورتیک‌ها,درد شکم، اسهال,خیر,0.1-0.2 mg/kg/day,10 mg,روزانه,Lexicomp 2023,10 mg,لاغری و یبوست,یک بار در روز
loratadine,لوراتادین,قرص 10mg,10mg در روز,خوراکی، با یا بدون غذا,حساسیت فصلی، خارش، کهیر,بیماری کبدی شدید,الکل، سایمتیدین,سردرد، خواب‌آلودگی,بله,0.2-0.4 mg/kg/day,10 mg,روزانه,UpToDate 2023,10 mg,آنتی هیستامین,یک بار در روز
antihistamine_decongestant,آنتی هیستامین دکونژستانت,شربت,5ml هر 6–8 ساعت,خوراکی، بعد غذا,احتقان بینی، آلرژی,فشار خون بالا,MAOI,گیجی، خواب‌آلودگی,خیر,0.5-1 mg/kg/day,15 ml,هر 6-8 ساعت,AAP 2023,45 ml,ترکیبی,هر 6-8 ساعت یک بار
betamethasone_topical,بتامتازون موضعی,پماد,روزی 2 بار روی موضع,موضعی,التهاب‌های پوستی، اگزما,عفونت قارچی,داروهای تضعیف ایمنی,سوزش، خشکی پوست,با احتیاط,0.1-0.2 mg/kg/day,5 mg,روزانه,Dermatology Guidelines 2023,5 mg,کورتیکواستروئید موضعی,دو بار در روز
aloe_vera_gel,آلوئه‌ورا ژل,ژل موضعی,به مقدار کافی,موضعی,سوختگی، آفتاب‌سوختگی,زخم باز,ندارد,سوزش موقتی,بله,طبق نیاز,طبق نیاز,بر اساس نیاز,Herbal Medicine Guidelines 2023,طبق نیاز,طب سنتی,بر اساس نیاز
cetirizine,سیتریزین,قرص 10mg,1 بار در روز,خوراکی,آلرژی، کهیر,نارسایی کلیوی,الکل,خواب‌آلودگی، خشکی دهان,بله,0.2-0.4 mg/kg/day,10 mg,روزانه,UpToDate 2023,10 mg,آنتی هیستامین,یک بار در روز
iron_fumarate,آهن فومارات,قرص,1 قرص در روز,خوراکی، با معده خالی یا همراه غذا,کم‌خونی فقر آهن,هموکروماتوز,آنتی‌اسیدها,یبوست، تهوع,بله,3-6 mg/kg/day,200 mg,روزانه,Hematology Guidelines 2023,200 mg,مکمل,یک بار در روز
silicone_gel,سیلیکون موضعی,ژل,2 بار در روز,موضعی,جای زخم و اسکار,زخم باز,ندارد,تحریک پوست,بله,طبق نیاز,طبق نیاز,روزانه,Plastic Surgery Guidelines 2023,طبق نیاز,مراقبت پوست,دو بار در روز
ors,ساشه ORS,پودر محلول,پس از هر اسهال,در آب حل شود,کم‌آبی بدن، اسهال,انسداد روده,ندارد,نفخ، تهوع,بله,طبق نیاز,طبق نیاز,بر اساس نیاز,WHO Guidelines 2023,طبق نیاز,الکترولیت,بر اساس نیاز
diphenhydramine_topical,دیفن هیدرامین موضعی,کرم,روزی 3 بار,موضعی,نیش حشرات، خارش,گلوکوم,محلول‌های ضدخارش دیگر,تحریک پوست,با احتیاط,طبق نیاز,طبق نیاز,روزانه,Dermatology Guidelines 2023,طبق نیاز,آنتی هیستامین موضعی,سه بار در روز
